id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes,nivel_sisben,max_antigüedad_empleo_años,frec_problemas_vestir,frec_problemas_medicamentos,frec_problemas_vivienda,frec_problemas_asistencia_escolar,ha_sido_victima_robo,ingreso_mensual_hogar
2019_gal_11,2.0,galapa,11.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,no,2.0,0.0,0.0,no,a veces,peor,si,no,control sobre la mayoría de decisiones,algo probable,no,menos de 1 salario mínimo,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,0.0,nunca,a veces,raramente,a veces,no,700000.0
2019_gal_12,2.0,galapa,12.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,si,2.0,0.0,0.0,no,raramente,peor,si,no,control sobre algunas decisiones,algo probable,si,menos de 1 salario mínimo,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,2.0,0.0,nunca,nunca,raramente,raramente,no,680000.0
2019_gal_13,1.0,galapa,13.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,no,0.0,0.0,0.0,si,a menudo,igual,si,no,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,2.0,0.0,a menudo,a veces,a veces,a veces,no,828116.0
2019_gal_14,1.0,galapa,14.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,no,0.0,0.0,0.0,no,a veces,peor,no,no,control sobre la mayoría de decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,0.0,a veces,raramente,raramente,raramente,no,950000.0
2019_gal_15,1.0,galapa,15.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,no,1.0,0.0,0.0,si,a veces,peor,no,no,control sobre la mayoría de decisiones,algo probable,si,menos de 1 salario mínimo,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,0.0,raramente,a veces,a menudo,a veces,no,450000.0
2019_gal_16,1.0,galapa,16.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,no,2.0,0.0,0.0,no,raramente,igual,no,no,control sobre todas las decisiones,algo probable,si,menos de 1 salario mínimo,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,0.0,nunca,nunca,nunca,raramente,no,600000.0
2019_gal_17,1.0,galapa,17.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,no,1.0,0.0,1.0,si,a menudo,igual,si,no,control sobre algunas decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,6.0,a menudo,raramente,nunca,nunca,no,828116.0
2019_mal_18,1.0,malambo,18.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,no,0.0,3.0,0.0,si,siempre,igual,si,no,control sobre todas las decisiones,algo probable,si,menos de 1 salario mínimo,muy feliz,insatisfecho,menos de 1 salario mínimo,3.0,0.0,a menudo,a veces,a veces,a veces,no,800000.0
2019_gal_19,1.0,galapa,19.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,no,1.0,0.0,2.0,si,raramente,mejor,si,no,control sobre la mayoría de decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,3.0,raramente,raramente,raramente,raramente,no,1500000.0
2019_gal_20,3.0,galapa,20.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,no,1.0,1.0,1.0,no,raramente,peor,no,no,control sobre la mayoría de decisiones,algo probable,no,menos de 1 salario mínimo,muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,3.0,4.0,nunca,a veces,raramente,raramente,no,680000.0
