id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,tipo_vivienda,espacios_vivienda,acueducto,alcantarillado,energia_electrica,gas_natural,material_pisos,material_paredes,combustible_cocinar,nevera,lavadora,licuadora,tv,television_por_cable,calentador_agua,microondas,aire_acondicionado,computador,equipo_de_sonido,motocicleta,ventilador,dvd,carro,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,recoleccion_basuras,usufructo_vivienda,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes,nivel_sisben,internet,frec_problemas_vestir,frec_problemas_medicamentos,frec_problemas_vivienda,frec_problemas_asistencia_escolar,ha_sido_victima_robo,ingreso_mensual_hogar
2018_mal_1082,1.0,malambo,1082.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,si,0.0,0.0,1.0,si,casa,2.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,no,no,no,no,no,no,a veces,igual,si,no,control sobre todas las decisiones,algo probable,no,menos de 1 salario mínimo,si,en arriendo o subarriendo,muy feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,raramente,raramente,nunca,nunca,no,400000.0
2018_mal_1083,1.0,malambo,1083.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,no,1.0,0.0,3.0,no,apartamento,2.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",electricidad,no,si,si,no,no,si,no,no,si,no,si,si,no,no,raramente,mejor,si,no,control sobre muy pocas decisiones,poco probable,no,menos de 1 salario mínimo,si,"propia, parcialmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,1.0,si,raramente,a veces,a veces,nunca,no,1200000.0
2018_mal_1084,1.0,malambo,1084.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,no,1.0,0.0,1.0,no,casa,3.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,no,no,no,no,no,no,a veces,mejor,si,no,control sobre muy pocas decisiones,poco probable,no,menos de 1 salario mínimo,si,en arriendo o subarriendo,muy feliz,muy satisfecho,más de 5 salarios mínimos,1.0,no,raramente,a veces,a veces,nunca,no,500000.0
2018_mal_1085,1.0,malambo,1085.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,no,1.0,0.0,3.0,no,casa,2.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,si,no,no,no,no,no,raramente,igual,si,no,control sobre algunas decisiones,poco probable,no,entre 1 y 2 salarios mínimos,si,"propia, parcialmente pagada",muy feliz,muy satisfecho,entre 2 y 5 salarios mínimos,1.0,no,raramente,a veces,raramente,raramente,no,900000.0
2018_mal_1086,1.0,malambo,1086.0,7.0,4.0,3.0,1.0,1.0,4.0,0.0,2.0,no,4.0,0.0,5.0,no,casa,3.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,no,no,si,si,no,si,no,si,si,no,no,nunca,mejor,si,si,control sobre todas las decisiones,nada probable,no,entre 1 y 2 salarios mínimos,si,en arriendo o subarriendo,muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,3.0,si,nunca,nunca,nunca,nunca,si,900000.0
2018_mal_1087,1.0,malambo,1087.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,no,3.0,0.0,1.0,no,casa,4.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,no,no,si,si,no,no,a veces,mejor,si,no,control sobre la mayoría de decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,en arriendo o subarriendo,muy feliz,satisfecho,entre 2 y 5 salarios mínimos,2.0,si,raramente,raramente,nunca,nunca,no,900000.0
2018_mal_1088,1.0,malambo,1088.0,5.0,1.0,4.0,1.0,1.0,3.0,0.0,2.0,no,2.0,0.0,3.0,no,casa,3.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,no,no,no,no,no,no,raramente,igual,si,no,control sobre algunas decisiones,poco probable,no,menos de 1 salario mínimo,si,en arriendo o subarriendo,muy feliz,muy satisfecho,más de 5 salarios mínimos,1.0,no,a veces,raramente,nunca,raramente,no,420000.0
2018_mal_1089,1.0,malambo,1089.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,no,0.0,0.0,1.0,no,casa,3.0,no,no,si,no,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,no,no,no,no,no,no,no,no,no,no,no,no,raramente,igual,no,no,control sobre la mayoría de decisiones,poco probable,si,entre 1 y 2 salarios mínimos,no,en arriendo o subarriendo,bastante feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,no,a veces,a veces,raramente,nunca,no,750000.0
2018_mal_1090,1.0,malambo,1090.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,si,0.0,0.0,1.0,no,apartamento,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,si,no,si,no,si,no,raramente,igual,no,si,ningún control,nada probable,si,entre 1 y 2 salarios mínimos,si,en arriendo o subarriendo,muy feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,si,nunca,a veces,nunca,nunca,no,781242.0
2018_mal_1091,1.0,malambo,1091.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,no,2.0,0.0,3.0,no,apartamento,3.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,si,si,si,si,si,no,nunca,mejor,si,si,control sobre la mayoría de decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,en arriendo o subarriendo,bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,si,nunca,nunca,nunca,nunca,no,1050000.0
