id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,maxima_educacion,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,tipo_vivienda,espacios_vivienda,acueducto,alcantarillado,energia_electrica,gas_natural,material_pisos,material_paredes,combustible_cocinar,nevera,lavadora,licuadora,tv,television_por_cable,calentador_agua,microondas,aire_acondicionado,computador,equipo_de_sonido,motocicleta,ventilador,dvd,carro,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre
2013_bar_48,1.0,barranquilla,48.0,6.0,4.0,2.0,4.0,0.0,2.0,no,5.0,básica secundaria,0.0,1.0,no,casa,2.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,si,si,no,no,no,no,si,no,si,si,no,no,a veces,mejor,si,si,control sobre la mayoría de decisiones,poco probable,no
2013_bar_49,1.0,barranquilla,49.0,7.0,4.0,3.0,4.0,0.0,3.0,si,3.0,básica secundaria,2.0,3.0,si,casa,6.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,si,no,si,si,no,nunca,igual,si,no,control sobre muy pocas decisiones,poco probable,no
2013_bar_200,1.0,barranquilla,200.0,5.0,1.0,4.0,1.0,1.0,3.0,si,2.0,básica secundaria,1.0,1.0,si,casa,5.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,si,no,si,no,no,a veces,igual,no,si,control sobre algunas decisiones,poco probable,no
2013_bar_201,1.0,barranquilla,201.0,10.0,4.0,6.0,4.0,2.0,4.0,no,5.0,básica secundaria,0.0,2.0,no,casa,6.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,no,si,si,no,si,no,si,si,si,si,si,no,raramente,mejor,si,si,control sobre la mayoría de decisiones,poco probable,no
2013_bar_202,3.0,barranquilla,202.0,7.0,3.0,4.0,2.0,0.0,4.0,si,3.0,universitaria,1.0,3.0,si,casa,5.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,no,si,si,no,raramente,igual,si,si,control sobre algunas decisiones,poco probable,no
2013_bar_203,3.0,barranquilla,203.0,5.0,2.0,3.0,2.0,1.0,2.0,no,2.0,universitaria,1.0,1.0,si,casa,5.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,no,si,si,no,raramente,mejor,si,si,control sobre algunas decisiones,poco probable,no
2013_bar_204,2.0,barranquilla,204.0,4.0,3.0,1.0,1.0,0.0,3.0,no,2.0,básica secundaria,1.0,1.0,no,casa,4.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,si,no,a veces,igual,si,si,control sobre algunas decisiones,algo probable,si
2013_bar_205,2.0,barranquilla,205.0,8.0,3.0,5.0,5.0,0.0,3.0,si,3.0,básica secundaria,0.0,2.0,no,casa,4.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,no,no,si,no,no,raramente,peor,no,si,control sobre la mayoría de decisiones,poco probable,no
2013_bar_206,2.0,barranquilla,206.0,4.0,1.0,3.0,2.0,0.0,2.0,si,2.0,media,1.0,1.0,no,apartamento,3.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,no,no,a veces,mejor,no,si,control sobre algunas decisiones,poco probable,si
2013_bar_207,3.0,barranquilla,207.0,7.0,3.0,4.0,1.0,1.0,5.0,si,2.0,universitaria,2.0,3.0,si,apartamento,4.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,si,no,a veces,igual,si,si,control sobre la mayoría de decisiones,algo probable,no
2013_bar_208,2.0,barranquilla,208.0,10.0,4.0,6.0,1.0,1.0,8.0,no,1.0,universitaria,2.0,4.0,si,casa,5.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,si,si,no,no,si,si,no,raramente,mejor,si,si,control sobre la mayoría de decisiones,muy probable,no
2013_bar_209,2.0,barranquilla,209.0,5.0,2.0,3.0,3.0,0.0,2.0,no,3.0,universitaria,1.0,1.0,si,casa,4.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,si,no,a veces,igual,no,si,control sobre algunas decisiones,algo probable,si
2013_bar_210,2.0,barranquilla,210.0,3.0,1.0,2.0,0.0,0.0,3.0,no,1.0,universitaria,0.0,2.0,si,apartamento,3.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,si,si,si,no,raramente,mejor,si,si,control sobre algunas decisiones,muy probable,no
